Parents:
Clark Kent              +aK)<2em    cv66Cd1IrS10NlZwOVGUfc8wSSG1cFurAZZ0Y3ku9S8
Louis Lane				6<Y.Aw!3	q8+1Ox/wLYyIB0/tbYfLsCAWYagBXawIcLiizwkcqG8
Bruce Wayne             ^5QtKUF'    EcNq9+bqLS9pMOMS93ll+Zr9gtXHPOnLjLsUG0mFZ/Y
Selina Kayle            B_8SSp#N    NRaL6w5H9zTU0yY7M+fer5Tf0TTSeXzvUOhTp+q71os
Barry Allen             v7^GJyL~    89MbzqVBsJd33L7Lr1PuRgViwzU18LXw+Ynr1HexmeQ
Diana Prince            k'4eEH)r    5LtMat0tofiaNN+Jmo+2JgGfQ7SUTDQKwY4VrzDHwlE

Employees:                 
John Jones              JQy8{6t8    Pd5rTTXJlm5koFosuxA0/QywUctCRMio8o3F+caokV0
Alexander Luthor        H<Vv7y}H    voqxgmGfp4+hAonOGu0KYeabf/TDHbM2Zo+8YEFT0mk
Reed Richards           f!#(bG8h    5tmHt7PeOCmbmHjPFeXL82o3cGN/C0KKW6iCjbABVgk
Martin Stein            sMp7FB@%    uA8x/FD71crYbXJdAaJxOZW0SW3xAewnVQJ2vBkfrew

Kids:
Victor Stone
Richar Grayson          
Damian Wayne            
Oliver Queen        
Arthur Curry            
Jason Todd              
Tony Stark              
Tim Drake           
Peter Parker            
Stiven Strange          
Thor Odinson            
Bruce Banner            
Steven Rogers                       
Lucifer Morningstar     
Wade Wilson             
James Howlett           
Hal Jordan
